"id_org","org_name","id","stat","requester","date","subject","descript","tag"
"1006085648","","1060","closed","1484972207",2015-10-17,"Lic. Yosu Ferré\n\nPor medio de la presente hago en...,","Lic. Yosu Ferré\n\nPor medio de la presente hago envío del acuse de recibido por parte de la Coordinación de Estrategia Digital Nacional del oficio de designación del Enlace Institucional de Datos Abiertos y del Administrador de Datos Abiertos del Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional.\n\nAsimismo, le anexo el inventario de datos de la institución y la minuta de la reunión del comité de datos abiertos en que se definió.\n\nLo anterior por instrucciones de la Lic. Susana Medel López quien amablemente me proporcionó sus datos.\n\nDe acuerdo a la guía de Datos Abiertos, solo nos queda recibir el acceso al sistema ADELA para realizar la publicación de los datos del Cinvestav.\n\nSin más por el momento, le envío un cordial saludo.\n\n\n________________________________\n\n[Descripción","adela"
"1056195838","","1065","closed","1485816148",2015-10-19,"especificaciones técnicas para almacenar datos (nube pública privada o híbrida)...,","A quien corresponda.\n\nAgradeceré nos envíen las especificaciones correspondientes.\n\nsaludos\n\nAlberto \nCIDE\nCoordinación de Tecnologías de Información y Comunicaciones\n\nEnviado desde mi mac,","enlace"
"1067925678","","1081","closed","2246662357",2015-10-19,"Verificación Inventario de Datos","Estimado Administrador de Datos Abiertos \n\nAcusamos de recibido el Inventario Institucional de Datos conforme a lo establecido en la Guía de Implementación de la Política de Datos Abiertos.\n\nHemos realizado una verificación del Inventario, misma que dió como resultado ‘CON OBSERVACIONES’. Usted puede ver la verificación en la siguiente liga","inventario"
"1075323877","","1378","closed","1485966988",2015-11-03,"Problemas con sus Recursos de Datos","Estimado Administrador de Datos\n\nEl presente correo da seguimiento a mi anterior comunicación del 23 de octubre y es un recordatorio. En un intento por mejorar el servicio de Datos Abiertos, perfeccionar los Recursos de Datos que las Dependencias de la Administración Pública publican, y asegurar su accesibilidad y permanencia, esta Dirección General ha realizado un ejercicio de prueba -con la intención de hacerlo permanente- para comprobar el funcionamiento de la descarga de los recursos de datos. Durante dicha prueba, detectamos posibles problemas con los siguientes recursos de datos bajo su responsabilidad","administrador_de_datos"
"1075323877","","1170","closed","1485966988",2015-10-22,"Atención Recurso de Datos","Estimado Administrador de Datos\n\nHemos recibido comentarios que sugieren atención al recurso de datos que le remito en la siguiente liga","administrador_de_datos"
"1075323877","","1188","closed","1485966988",2015-10-23,"Accesibilidad y Permanencia Recursos de Datos","Estimado Administrador de Datos\n\nEn un intento por mejorar el servicio de Datos Abiertos, perfeccionar los Recursos de Datos que las Dependencias de la Administración Pública publican, y asegurar su accesibilidad y permanencia, esta Dirección General ha realizado un ejercicio de prueba -con la intención de hacerlo permanente- para comprobar el funcionamiento de la descarga de los recursos de datos. Durante dicha prueba, detectamos posibles problemas con los siguientes recursos de datos bajo su responsabilidad","administrador_de_datos"
"1278988988","","1418","closed","2596141567",2015-11-06,"FW","Gracias Andrea tenía registrado el correo que creo me dieron en el primer evento y el autocompletar a veces traiciona.\n\n[firma]\n\nFrom","adela"
"1313200728","","1420","closed","2582844748",2015-11-06,"Datos Abiertos","Estimados Enlaces y Administradores de Datos Abiertos\n\nCon el objetivo de avanzar en el cumplimiento de la Guía de Implementación de la Política de Datos Abiertos y considerando a aquellas Dependencias que han tenido dificultades para obtener su usuario y contraseña en la plataforma ADELA, hemos habilitado en la sección principal de esta misma (http","adela"
"1313200728","","1423","closed","2582844748",2015-11-07,"Usuario y contraseña generada","Estimado Adrián","null"
"1313200728","","1426","closed","2602685547",2015-11-09,"Catalogo de datos","Yosu\n\nEnvío el catálogo de datos. Saludos\n\n[images]\n\nGuillermo Real Neri\nCoordinación de Asesores\nSubsecretaría de Desarrollo Urbano y Vivienda\nTel.","null"
"1313200728","","1424","closed","2602685547",2015-11-07,"Plantilla Inventario","Estimado Guillermo","null"
"1313200728","","1425","closed","2602685547",2015-11-09,"Inventario de Datos","Yosu\n\nDe acuerdo con nuestra conversación telefónica, te envío el inventario de datos.\n\nSaludos,\n\n[images]\n\nGuillermo Real Neri\nCoordinación de Asesores\nSubsecretaría de Desarrollo Urbano y Vivienda\nTel.","inventario"
"1313200728","","1432","closed","2602685547",2015-11-09,"Actividad Finalizada","Estimado Yosu\n\nMuchas gracias por todo el apoyo. Ya está el conjunto de datos en la página www.datos.gob.mx\n\nSaludos,\n\n[images]\n\nGuillermo Real Neri\nCoordinación de Asesores\nSubsecretaría de Desarrollo Urbano y Vivienda\nTel.","null"
"1313736548","","1417","closed","2350961268",2015-11-06,"Asunto","Este es un seguimiento de su solicitud anterior #1322 \Plan de apertura CONABIO\\r\nHola buena tarde","inventario"
"1313736548","","1677","closed","2704579148",2015-12-08,"Evaluación OCDE","Estimados escuadrón de datos","seminario"
"1313736548","","1678","open","2350961268",2015-12-08,"Dudas publicación catálogo de datos","Estimados","reporte"
"1318943867","","1525","closed","1335775087",2015-11-25,"Catálogo de datos sincronizado","Buenos días","null"
"1318943867","","1440","closed","1335775087",2015-11-10,"Problema con Adela.gob.mx","En Adela.gob.mx la sección \Catálogo de Datos\ no se encuentra sincronizada con el Inventario de Datos y el Plan de Apertura publicados. No he podido publicar 2 conjuntos de datos porque aun cuando estos se encuentran en el inventario y en el plan de apertura la sección catálogo de datos no los presenta.,","closed_by_merge"
"1318943867","","1384","closed","1335775087",2015-11-04,"Re","Este es un seguimiento de su solicitud anterior n.° #1183 \Problema con el \Catálogo d...\\n\nBuen día.\n\nEstoy revisando en Adela la sección \Catálogo de Datos\ y ésta sigue sin actualizarse respecto al Inventario de Datos y el Plan de Apertura que tenemos cargado en el mismo ADELA. De acuerdo al correo del día 27/10 (ver abajo) comentaron que a partir de esta semana se podría tener las actualizaciones y acabo de ingresar y siguen presentándose Conjuntos de datos que no serán publicados y los que si tengo que publicar no se muestran actualizados en el \Catálogo de Datos\\n\nSolicito su apoyo para lo siguiente","adela"
